Name Site;Adresse IP;Numero Serveur
DISTRIB;132.147.195.203;srvgxdev01
SRVGXBDD01;132.147.195.208;srvgxbdd01
SRVGXREC01;132.147.193.21;srvgxrec01
SRVGXREC02;132.147.193.22;srvgxrec02
SRVGXREC03;132.147.193.23;srvgxrec03
SRVGXREC04;132.147.193.24;srvgxrec04
SRVGXREC05;132.147.193.25;srvgxrec05
SRVGXREC06;132.147.193.26;srvgxrec06
SRVGXREC07;132.147.193.27;srvgxrec07
SRVGXREC08;132.147.1.226;srvgxrec08
GALAX;132.147.15.169;srv199gie
SENS;132.147.19.5;srv19bdnfs
QUIMP;132.147.113.5;srv113bdnfs
TRAPP;132.147.74.5;srv74bdnfs
BLOIS;132.147.152.5;srv152bdnfs
PUTEA;132.147.8.5;srv8bdnfs
BRY;132.147.38.5;srv38bdnfs
TORRESV;132.147.202.5;srv202bdnfs
LILVT;132.147.5.5;srv5bdnfs
PANTIN;132.147.104.5;srv104bdnfs
BILBAO;10.134.1.5;srv301bdnfs
GUADALA;10.134.9.5;srv302bdnfs
SERLASA;10.134.129.5;srv304bdnfs
GRANADA;10.134.5.5;srv305bdnfs
VALENCIA2;10.134.7.5;srv307bdnfs
BEZST;132.147.75.5;srv75bdnfs
PERSA;132.147.216.5;srv216bdnfs
STTHV;132.147.47.5;srv47bdnfs
SANIGIENE;132.147.31.5;srv31bdnfs
COULO;132.147.110.5;srv110bdnfs
SOA;132.147.37.5;srv37bdnfs
ALB;132.147.153.5;srv153bdnfs
POULARD;132.147.41.5;srv41bdnfs
CAEN;132.147.44.5;srv44bdnfs
GUERA;132.147.55.5;srv55bdnfs
AIX;132.147.88.5;srv88bdnfs
ROUEN;132.147.2.5;srv2bdnfs
BARCE2;132.147.237.5;srv237bdnfs
STQUE;132.147.46.5;srv46bdnfs
STGEN;132.147.10.5;srv10bdnfs
NIMES;132.147.51.5;srv51bdnfs
VIENN;132.147.92.5;srv92bdnfs
BORDE;132.147.86.5;srv86bdnfs
FAMAL;132.147.217.5;srv217bdnfs
CAULN;132.147.23.5;srv23bdnfs
ANGERS;132.147.4.5;srv4bdnfs
GRENO;132.147.64.5;srv64bdnfs
TOULO;132.147.3.5;srv3bdnfs
CHARX;132.147.11.5;srv11bdnfs
MARSE;132.147.29.5;srv29bdnfs
ANDER;132.147.34.5;srv34bdnfs
PALTO;132.147.220.5;srv220bdnfs
ALGOZ;132.147.226.5;srv226bdnfs
MIOS;132.147.146.5;srv146bdnfs
NANCY;132.147.12.5;srv12bdnfs
STRAS;132.147.13.5;srv13bdnfs
LOUDUN;132.147.16.5;srv16bdnfs
ROANN;132.147.25.5;srv25bdnfs
MEAUX;132.147.77.5;srv77bdnfs
BRETI;132.147.212.5;srv212bdnfs
CARCA;132.147.49.5;srv49bdnfs
LIMOG;132.147.24.5;srv24bdnfs
TOURS;132.147.98.5;srv98bdnfs
CLERM;132.147.54.5;srv54bdnfs
GENVI;132.147.209.5;srv209bdnfs
MILAN;132.147.225.5;srv225bdnfs
NICE;132.147.97.5;srv97bdnfs
LEMANS;132.147.68.5;srv68bdnfs
PROHY;132.147.32.5;srv32bdnfs
GUILE;132.147.111.5;srv111bdnfs
VILLIERS;132.147.15.198;srv116bdnfs
PLOUD;132.147.15.68;srv112bdnfs
SNDI;132.147.15.190;srv81bdnfs
NYON;132.147.156.5;srv156bdnfs
BLANCHATEL;132.147.156.33;srv164bdnfs
LASARRAZ;132.147.156.31;srv165bdnfs
PLAN;132.147.156.32;srv167bdnfs
STTHI;132.147.78.5;srv78bdnfs
LACORUNA;132.147.239.5;srv239bdnfs
WATTR;132.147.109.5;srv109bdnfs
ALMUNIA;132.147.236.5;srv236bdnfs
HUELVA;132.147.15.170;srv91bdnfs
LOURDES;132.147.15.69;srv124bdnfs
ANGLET;132.147.15.85;srv108bdnfs
GERAR;132.147.15.66;srv14bdnfs
BRASIL;132.147.15.67;srv143bdnfs
LOVET;132.147.15.113;srv207bdnfs
SCHAFER;132.147.15.75;srv115bdnfs
CWS;132.147.15.98;srv145bdnfs
CASTELLVI;132.147.15.191;srv238bdnfs
LECANNET;132.147.15.196;srv118bdnfs
ALMANSA;132.147.15.3;srv242bdnfs
TOULON;132.147.15.65;srv117bdnfs
LANUCIA;132.147.15.72;srv240bdnfs
MADRID;132.147.30.5;srv30bdnfs
BARCE;132.147.22.5;srv22bdnfs
GETAFE;132.147.71.5;srv71bdnfs
FOUGERE;132.147.106.5;srv106bdnfs
CLISSON;132.147.43.5;srv43bdnfs
NAJERA;10.134.132.5;srv308bdnfs
BSA;132.147.148.5;srv148bdnfs
ALMOGUERA;10.134.137.5;srv309bdnfs
SANTIAGO;10.134.134.5;srv310bdnfs
FREIBURG;132.147.15.9;srv9bdnfs
KOLN;132.147.15.92;srv62bdnfs
SPIES;132.147.15.194;srv127bdnfs
JANVI;132.147.15.97;srv101bdnfs
